Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,position,height,weight,country,draft_year,draft_number,conference,division,team,Group
Dean Wade,21.95,1.85,4.69,0.4,1.38,3.92,0.39,0.38,0.92,0.17,0.62,3.54,4.15,1.54,1.0,0.38,0.31,1.69,5.46,5.55,F,2.06,102.6,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers,Role Players
Deandre Ayton,30.51,6.62,12.31,0.54,0.38,1.15,0.26,0.85,1.23,0.28,3.0,7.54,10.54,1.15,0.92,0.69,1.62,1.92,14.46,12.53,C,2.13,113.4,Bahamas,2018,1,West,Northwest,Portland Trail Blazers,All-Stars
Dejounte Murray,29.42,5.0,16.33,0.3,1.67,5.0,0.28,4.67,5.33,0.84,0.33,5.67,6.0,6.0,1.33,0.0,3.67,2.33,16.33,9.5,G,1.93,81.0,USA,2016,29,West,Southwest,New Orleans Pelicans,Superstars
Delon Wright,16.22,0.94,2.94,0.25,0.44,1.81,0.17,0.31,0.62,0.08,0.56,1.12,1.69,1.75,0.69,0.38,0.38,0.62,2.62,3.1,G,1.96,83.25,USA,2015,undrafted,East,Central,Milwaukee Bucks,Prospects and Bench Players
Deni Avdija,26.96,3.65,9.25,0.38,1.2,3.85,0.28,2.9,3.7,0.69,1.3,4.9,6.2,3.25,1.1,0.9,2.0,2.0,11.4,9.65,F,2.06,108.0,Israel,2020,9,West,Northwest,Portland Trail Blazers,All-Stars
Dennis Schröder,34.16,6.28,13.94,0.45,2.78,6.67,0.41,3.28,3.72,0.71,0.22,2.94,3.17,6.33,1.22,0.17,2.39,2.44,18.61,14.63,G,1.85,78.75,Germany,2013,17,East,Atlantic,Brooklyn Nets,Superstars
Dereck Lively,22.56,3.62,5.12,0.7,0.0,0.0,0.0,1.5,2.38,0.48,2.62,4.5,7.12,2.31,0.62,1.56,0.94,3.0,8.75,10.65,C,2.16,103.5,USA,2023,12,West,Southwest,Dallas Mavericks,All-Stars
Derrick Jones,25.49,3.95,7.9,0.51,1.24,2.95,0.45,1.14,1.33,0.49,1.38,2.14,3.52,0.95,1.33,0.19,1.14,2.38,10.29,7.9,F,1.98,94.5,USA,undrafted,undrafted,West,Pacific,LA Clippers,Role Players
Derrick White,34.32,6.37,13.37,0.49,3.79,9.05,0.43,1.79,2.11,0.62,1.21,3.53,4.74,4.42,0.79,1.05,1.42,2.37,18.32,15.54,G,1.93,85.5,USA,2017,29,East,Atlantic,Boston Celtics,Superstars
Desmond Bane,27.26,5.08,12.38,0.38,1.77,5.69,0.27,1.85,2.38,0.56,0.85,5.54,6.38,3.77,0.85,0.54,2.31,2.54,13.77,9.71,G,1.96,96.75,USA,2020,undrafted,West,Southwest,Memphis Grizzlies,Role Players
Devin Booker,36.79,8.0,18.05,0.43,2.63,7.63,0.32,6.11,6.84,0.86,1.21,2.32,3.53,6.63,1.0,0.42,2.11,2.16,24.74,19.52,G,1.98,92.7,USA,2015,13,West,Pacific,Phoenix Suns,Superstars
Devin Vassell,22.25,5.4,11.8,0.45,2.4,6.0,0.45,2.6,2.6,0.8,0.4,1.2,1.6,3.0,0.8,0.4,2.0,2.4,15.8,10.56,G,1.96,90.0,USA,2020,11,West,Southwest,San Antonio Spurs,Role Players
Dillon Brooks,30.92,4.55,11.15,0.39,2.05,5.45,0.36,1.25,1.5,0.49,1.25,2.15,3.4,1.45,0.6,0.25,0.9,3.05,12.4,7.5,F,1.98,101.25,Canada,2017,45,West,Southwest,Houston Rockets,Role Players
Dillon Jones,8.3,0.83,2.56,0.19,0.22,1.44,0.07,0.17,0.33,0.08,0.72,1.28,2.0,0.67,0.17,0.06,0.39,0.94,2.06,1.33,F,1.96,105.75,USA,2024,26,West,Northwest,Oklahoma City Thunder,Prospects and Bench Players
Domantas Sabonis,36.63,7.78,12.39,0.64,1.06,2.5,0.35,3.83,4.56,0.75,2.89,10.0,12.89,6.44,0.83,0.5,3.67,3.67,20.44,20.18,F,2.08,108.0,Lithuania,2016,11,West,Pacific,Sacramento Kings,Superstars
Dominick Barlow,5.36,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.25,F,2.03,96.75,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks,Prospects and Bench Players
Donovan Clingan,17.02,2.35,4.47,0.53,0.18,0.53,0.14,0.94,1.29,0.35,3.18,3.53,6.71,0.29,0.53,2.18,1.0,2.94,5.82,6.86,C,2.18,126.0,USA,2024,7,West,Northwest,Portland Trail Blazers,All-Stars
Donovan Mitchell,31.69,8.63,19.16,0.45,3.58,9.21,0.39,3.21,3.89,0.69,0.58,4.16,4.74,4.0,1.47,0.26,2.0,2.26,24.05,17.03,G,1.9,96.75,USA,2017,13,East,Central,Cleveland Cavaliers,Superstars
Donte DiVincenzo,25.61,3.05,8.63,0.35,2.21,6.79,0.32,0.63,0.84,0.34,0.32,2.63,2.95,3.32,1.21,0.26,1.84,1.79,8.95,6.21,G,1.93,91.35,USA,2018,17,West,Northwest,Minnesota Timberwolves,Role Players
