,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
3869,Deividas Sirvydis,G,2.03,85.5,Lithuania,2019,37,East,Central,Indiana Pacers
3870,Charlie Sitton,G-C,2.03,94.5,USA,1984,38,West,Southwest,Dallas Mavericks
3871,Peyton Siva,G-C,1.83,83.25,USA,2013,56,East,Central,Detroit Pistons
3872,Dmytro Skapintsev,C,2.13,96.75,Ukraine,undrafted,undrafted,East,Atlantic,Boston Celtics
3873,Scott Skiles,G-C,1.85,81.0,USA,1986,22,East,Southeast,Orlando Magic
3874,Al Skinner,G-C,1.9,85.5,USA,1974,1,East,Atlantic,Brooklyn Nets
3875,Talvin Skinner,G-C,1.96,87.75,USA,1974,44,West,Northwest,Oklahoma City Thunder
3876,Brian Skinner,G-C,2.06,114.75,USA,1998,22,West,Pacific,LA Clippers
3877,Whitey Skoog,G-C,1.8,81.0,USA,1951,undrafted,West,Pacific,Los Angeles Lakers
3878,Jeff Slade,G-C,1.98,99.0,USA,1962,85,East,Southeast,Washington Wizards
3879,Reggie Slater,G-C,2.01,114.75,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors
3880,Jose Slaughter,G-C,1.96,92.25,USA,1982,43,East,Central,Indiana Pacers
3881,Jalen Slawson,F,2.01,96.75,USA,2023,54,East,Southeast,Orlando Magic
3882,Tamar Slay,G-C,2.03,96.75,USA,2002,53,East,Atlantic,Brooklyn Nets
3883,Jerry Sloan,G-C,1.96,87.75,USA,1965,4,East,Central,Chicago Bulls
3884,Donald Sloan,G-C,1.9,92.25,USA,undrafted,undrafted,East,Central,Indiana Pacers
3885,Uros Slokar,G-C,2.08,107.1,Slovenia,2005,58,East,Atlantic,Toronto Raptors
3886,Tom Sluby,G-C,1.93,90.0,USA,1984,41,West,Southwest,Dallas Mavericks
3887,Alen Smailagic,F,2.08,96.75,Serbia,2019,39,West,Pacific,Golden State Warriors
3888,Marcus Smart,G,1.9,99.0,USA,2014,6,West,Southwest,Memphis Grizzlies
3889,Keith Smart,G-C,1.85,78.75,USA,1988,41,West,Southwest,San Antonio Spurs
3890,Javonte Smart,G,1.93,92.25,USA,undrafted,undrafted,East,Southeast,Orlando Magic
3891,Jack Smiley,G-C,1.9,85.5,USA,undrafted,undrafted,East,Central,Detroit Pistons
